candidate_id,insurer_name,plan_name,official_url,quote_or_application_url,broker_url,policy_wording_or_pdf_url,primary_evidence_url,source_refs_count,url_capture_notes
cigna_global,Cigna Global,International Health Insurance / Global Medical Cover,https://www.cignaglobal.com/,https://www.cignaglobal.com/quote/pages/quote/CountrySelector.html,,,https://www.cignaglobal.com/,1,No public policy wording or PDF URL was verified in this run.
allianz_care,Allianz Care,Care International Health Insurance Plans,https://www.allianzcare.com/en/personal-international-health-insurance.html,https://my.allianzcare.com/myquote/5,,,https://www.allianzcare.com/en/personal-international-health-insurance.html,2,No public policy wording or PDF URL was verified in this run.
bupa_global,Bupa Global,Private Health Insurance & Medical Insurance for Individuals and Families,https://www.bupaglobal.com/en/private-health-insurance,https://www.bupaglobal.com/en/private-health-insurance,,,https://www.bupaglobal.com/en/private-health-insurance,2,No public policy wording or PDF URL was verified in this run.
axa_global_healthcare,AXA Global Healthcare,International Health Insurance Plans,https://www.axaglobalhealthcare.com/en/international-health-insurance/,https://www.axaglobalhealthcare.com/en/international-health-insurance/get-a-quote/?camp=online-default,,,https://www.axaglobalhealthcare.com/en/international-health-insurance/,2,No public policy wording or PDF URL was verified in this run.
april_international,APRIL International,Long-term Expat International Health Insurance,https://www.april-international.com/en/long-term-international-health-insurance,https://www.april-international.com/en,,,https://www.april-international.com/en/long-term-international-health-insurance,2,No public policy wording or PDF URL was verified in this run.
william_russell,William Russell,International Health Insurance,https://www.william-russell.com/international-health-insurance/,https://www.william-russell.com/international-health-insurance/,,,https://www.william-russell.com/international-health-insurance/,2,No public policy wording or PDF URL was verified in this run.
msh_international,MSH International,First'Expat+ / International Health Insurance for Individuals,https://www.msh-intl.com/en/individuals/,https://www.msh-intl.com/en/comparisons-offers-msh,,,https://www.msh-intl.com/en/individuals/,2,No public policy wording or PDF URL was verified in this run.
now_health_international,Now Health International,SimpleCare / WorldCare International Health Insurance Plans,https://www.now-health.com/en/insurance-plans/,https://www.now-health.com/en/insurance-plans/,,,https://www.now-health.com/en/insurance-plans/,1,No public policy wording or PDF URL was verified in this run.
img_global,IMG (International Medical Group),Global Medical international health insurance,https://www.imglobal.com/,https://www.imglobal.com/international-health-insurance,,,https://www.imglobal.com/,1,No public policy wording or PDF URL was verified in this run.
aetna_international,Aetna International,Aetna International global healthcare entrypoint,https://www.aetnainternational.com/,https://www.aetna.com/employers-organizations/aetna-international-insurance.html,,,https://www.aetnainternational.com/,1,No public policy wording or PDF URL was verified in this run.
foyer_global_health,Foyer Global Health,Expat Health Insurance / International Health Insurance comparison,https://www.foyerglobalhealth.com/,https://www.foyerglobalhealth.com/plans-services/our-plans/international-health-insurance-comparison/,,,https://www.foyerglobalhealth.com/,2,No public policy wording or PDF URL was verified in this run.
henner,Henner,Individuals & Families international health solutions,https://www.henner.com/en/customers/individuals-families/,https://www.henner.com/en/customers/individuals-families/,,,https://www.henner.com/en/customers/individuals-families/,1,No public policy wording or PDF URL was verified in this run.
globality_health,Globality Health,YouGenio individual international health insurance plans,https://www.globality-health.com/,https://application.globality-health.com/?locale=en,,,https://www.globality-health.com/,1,No public policy wording or PDF URL was verified in this run.
morgan_price,Morgan Price International Healthcare,Evolution Health / Flexible Choices individual international healthcare plans,https://www.morgan-price.com/individual/,https://morgan-price.com/quick-quote/,,https://morgan-price.com/media/4ibjjwku/evolutionhealth_ant_policywording_04-26_v2-final.pdf,https://www.morgan-price.com/individual/,1,"Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
